id,original_title,target,vote_average,Action,Adventure,Fantasy,ScienceFiction,Crime,Drama,Thriller,Animation,Family,Western,Comedy,Romance,Horror,Mystery,History,War,Music,Documentary,Foreign,TVMovie,director,cast,keywords
19995,Avatar,7,7.2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,James Cameron,"SamWorthington,SigourneyWeaver,StephenLang,ZoeSaldana","['culture clash', 'future', 'space war', 'space colony', 'society', 'space travel', 'futuristic', 'romance', 'space', 'alien', 'tribe', 'alien planet', 'cgi', 'marine', 'soldier', 'battle', 'love affair', 'anti war', 'power relations', 'mind and soul', '3d']"
285,Pirates of the Caribbean: At World's End,7,6.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gore Verbinski,"JohnnyDepp,KeiraKnightley,OrlandoBloom,StellanSkarsgård","['ocean', 'drug abuse', 'exotic island', 'east india trading company', ""love of one's life"", 'traitor', 'shipwreck', 'strong woman', 'ship', 'alliance', 'calypso', 'afterlife', 'fighter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
206647,Spectre,6,6.3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Mendes,"ChristophWaltz,DanielCraig,LéaSeydoux,RalphFiennes","['spy', 'based on novel', 'secret agent', 'sequel', 'mi6', 'british secret service', 'united kingdom']"
49026,The Dark Knight Rises,8,7.6,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Christopher Nolan,"AnneHathaway,ChristianBale,GaryOldman,MichaelCaine","['dc comics', 'crime fighter', 'terrorist', 'secret identity', 'burglar', 'hostage drama', 'time bomb', 'gotham city', 'vigilante', 'cover-up', 'superhero', 'villainess', 'tragic hero', 'terrorism', 'destruction', 'catwoman', 'cat burglar', 'imax', 'flood', 'criminal underworld', 'batman']"
49529,John Carter,6,6.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrew Stanton,"LynnCollins,SamanthaMorton,TaylorKitsch,WillemDafoe","['based on novel', 'mars', 'medallion', 'space travel', 'princess', 'alien', 'steampunk', 'martian', 'escape', 'edgar rice burroughs', 'alien race', 'superhuman strength', 'mars civilization', 'sword and planet', '19th century', '3d']"
559,Spider-Man 3,6,5.9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Raimi,"JamesFranco,KirstenDunst,ThomasHadenChurch,TobeyMaguire","['dual identity', 'amnesia', 'sandstorm', ""love of one's life"", 'forgiveness', 'spider', 'wretch', 'death of a friend', 'egomania', 'sand', 'narcism', 'hostility', 'marvel comic', 'sequel', 'superhero', 'revenge']"
38757,Tangled,7,7.4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Byron Howard,"DonnaMurphy,MandyMoore,RonPerlman,ZacharyLevi","['hostage', 'magic', 'horse', 'fairy tale', 'musical', 'princess', 'animation', 'tower', 'blonde woman', 'selfishness', 'healing power', 'based on fairy tale', 'duringcreditsstinger', 'healing gift', 'animal sidekick']"
99861,Avengers: Age of Ultron,7,7.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joss Whedon,"ChrisEvans,ChrisHemsworth,MarkRuffalo,RobertDowneyJr.","['marvel comic', 'sequel', 'superhero', 'based on comic book', 'vision', 'superhero team', 'duringcreditsstinger', 'marvel cinematic universe', '3d']"
767,Harry Potter and the Half-Blood Prince,7,7.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,David Yates,"DanielRadcliffe,EmmaWatson,RupertGrint,TomFelton","['witch', 'magic', 'broom', 'school of witchcraft', 'wizardry', 'apparition', 'teenage crush', 'werewolf']"
209112,Batman v Superman: Dawn of Justice,6,5.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zack Snyder,"AmyAdams,BenAffleck,GalGadot,HenryCavill","['dc comics', 'vigilante', 'superhero', 'based on comic book', 'revenge', 'super powers', 'clark kent', 'bruce wayne', 'dc extended universe']"
1452,Superman Returns,5,5.4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bryan Singer,"BrandonRouth,JamesMarsden,KateBosworth,KevinSpacey","['saving the world', 'dc comics', 'invulnerability', 'sequel', 'superhero', 'based on comic book', 'kryptonite', 'super powers', 'superhuman strength', 'lex luthor']"
10764,Quantum of Solace,6,6.1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Marc Forster,"DanielCraig,JudiDench,MathieuAmalric,OlgaKurylenko","['killing', 'undercover', 'secret agent', 'british secret service']"
58,Pirates of the Caribbean: Dead Man's Chest,7,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gore Verbinski,"JohnnyDepp,KeiraKnightley,OrlandoBloom,StellanSkarsgård","['witch', 'fortune teller', 'bondage', 'exotic island', 'monster', 'captain', 'card game', 'east india trading company', 'compass', 'ship', 'daughter', 'pirate', 'swashbuckler', 'aftercreditsstinger']"
57201,The Lone Ranger,6,5.9,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Gore Verbinski,"ArmieHammer,HelenaBonhamCarter,JohnnyDepp,WilliamFichtner","['texas', 'horse', 'survivor', 'texas ranger', 'partner', 'outlaw', 'escape', 'lawyer', 'train', 'lone ranger', 'comanche', 'the lone ranger', 'tonto']"
49521,Man of Steel,7,6.5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zack Snyder,"AmyAdams,HenryCavill,KevinCostner,MichaelShannon","['saving the world', 'dc comics', 'superhero', 'based on comic book', 'superhuman', 'alien invasion', 'reboot', 'super powers', 'dc extended universe']"
2454,The Chronicles of Narnia: Prince Caspian,6,6.3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Andrew Adamson,"AnnaPopplewell,BenBarnes,SkandarKeynes,WilliamMoseley","['based on novel', 'fictional place', 'brother sister relationship', 'lion', 'human being', 'wretch', 'leap in time', 'matter of life and death', 'faith', 'uncle', 'narnia', 'fantasy world']"
24428,The Avengers,7,7.4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joss Whedon,"ChrisEvans,ChrisHemsworth,MarkRuffalo,RobertDowneyJr.","['new york', 'shield', 'marvel comic', 'superhero', 'based on comic book', 'alien invasion', 'superhero team', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']"
1865,Pirates of the Caribbean: On Stranger Tides,6,6.4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Marshall,"IanMcShane,JohnnyDepp,KevinMcNally,PenélopeCruz","['sea', 'captain', 'mutiny', 'sword', 'prime minister', 'sailing', 'silver', 'ship', 'duke', 'mermaid', 'pirate', 'soldier', 'battle', 'swashbuckler', 'aftercreditsstinger', '3d']"
41154,Men in Black 3,6,6.2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Barry Sonnenfeld,"JoshBrolin,MichaelStuhlbarg,TommyLeeJones,WillSmith","['time travel', 'time machine', 'alien', 'fictional government agency', 'seeing the future', 'changing history']"
122917,The Hobbit: The Battle of the Five Armies,7,7.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Jackson,"IanMcKellen,KenStott,MartinFreeman,RichardArmitage","['corruption', 'elves', 'dwarves', 'orcs', 'middle-earth (tolkien)', 'hobbit', 'dragon', 'battle', 'unlikely friendship', 'epic battle', 'sword and sorcery']"
1930,The Amazing Spider-Man,7,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marc Webb,"AndrewGarfield,DenisLeary,EmmaStone,RhysIfans","['loss of father', 'vigilante', 'serum', 'marvel comic', 'scientific experiment', 'spider bite', 'masked vigilante', 'reboot', 'super powers', 'genetic engineering', 'social outcast', 'duringcreditsstinger']"
20662,Robin Hood,6,6.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ridley Scott,"CateBlanchett,MaxvonSydow,RussellCrowe,WilliamHurt","['robin hood', 'archer', 'knight', 'sherwood forest', 'bow and arrow', 'middle ages', 'medieval', 'king of england']"
57158,The Hobbit: The Desolation of Smaug,8,7.6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Jackson,"IanMcKellen,KenStott,MartinFreeman,RichardArmitage","['elves', 'dwarves', 'orcs', 'hobbit', 'dragon', 'wizard', 'sword and sorcery']"
2268,The Golden Compass,6,5.8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chris Weitz,"DakotaBlueRichards,DanielCraig,NicoleKidman,SamElliott","['england', 'compass', 'experiment', 'lordship', 'uncle', 'polar bear', 'orphan', 'animal', 'based on young adult novel']"
254,King Kong,7,6.6,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Jackson,"AdrienBrody,JackBlack,NaomiWatts,ThomasKretschmann","['film business', 'screenplay', 'show business', 'film making', 'film producer', 'exotic island', 'monster', 'indigenous', 'ship', 'dinosaur']"
597,Titanic,8,7.5,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,James Cameron,"BillyZane,FrancesFisher,KateWinslet,LeonardoDiCaprio","['shipwreck', 'iceberg', 'ship', 'panic', 'titanic', 'ocean liner', 'epic', 'rich woman - poor man', 'love', 'disaster', 'tragic love', 'class differences', 'imax', 'star crossed lovers', 'steerage', 'salvage', 'rich snob', '3d', '1910s']"
271110,Captain America: Civil War,7,7.1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Anthony Russo,"ChrisEvans,RobertDowneyJr.,ScarlettJohansson,SebastianStan","['civil war', 'war', 'marvel comic', 'sequel', 'superhero', 'based on comic book', 'imax', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe', '3d']"
44833,Battleship,6,5.5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Berg,"AlexanderSkarsgård,BrooklynDecker,Rihanna,TaylorKitsch","['fight', 'u.s. navy', 'mind reading', 'hong kong', 'soccer', 'scientist', 'fictional war', 'naval', 'armada', 'battleship', 'naval combat', 'jds myoko', 'lost communication', 'taser', 'buoy', 'communications expert', 'joint chiefs of staff', 'crash landing', 'jet fighter pilot', 'navy lieutenant', 'permission to marry', 'uss john paul jones', 'based on board game', 'aftercreditsstinger', 'mighty mo', 'uss missouri']"
135397,Jurassic World,7,6.5,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Colin Trevorrow,"BryceDallasHoward,ChrisPratt,IrrfanKhan,VincentDOnofrio","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island', 'sequel', 'suspense', 'disaster', 'escape', 'dinosaur', 'amusement park', 'animal attack', 'theme park', 'jurassic park', '3d', 'animal horror']"
37724,Skyfall,7,6.9,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Mendes,"DanielCraig,JavierBardem,JudiDench,RalphFiennes","['spy', 'secret agent', 'sociopath', 'killer', 'art gallery', 'british secret service', 'istanbul turkey', 'imax', 'uzi', 'booby trap', 'impersonating a police officer', 'macao']"
558,Spider-Man 2,7,6.7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sam Raimi,"AlfredMolina,JamesFranco,KirstenDunst,TobeyMaguire","['dual identity', ""love of one's life"", 'pizza boy', 'marvel comic', 'sequel', 'superhero', 'doctor', 'scientist', 'tentacle', 'death', 'super villain']"
68721,Iron Man 3,7,6.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Shane Black,"DonCheadle,GuyPearce,GwynethPaltrow,RobertDowneyJr.","['terrorist', 'war on terror', 'tennessee', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'mandarin', '3d', 'war machine', 'iron patriot', 'extremis']"
12155,Alice in Wonderland,6,6.4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Tim Burton,"AnneHathaway,HelenaBonhamCarter,JohnnyDepp,MiaWasikowska","['based on novel', 'fictional place', 'queen', 'fantasy', 'alice in wonderland', 'fantasy world', '3d']"
36668,X-Men: The Last Stand,6,6.3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Brett Ratner,"HalleBerry,HughJackman,IanMcKellen,PatrickStewart","['mutant', 'marvel comic', 'based on comic book', 'superhuman', 'beast', 'cyclops', 'aftercreditsstinger']"
62211,Monsters University,7,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,Dan Scanlon,"BillyCrystal,HelenMirren,JohnGoodman,SteveBuscemi","['monster', 'dormitory', 'games', 'animation', 'best friend', 'university', 'scary', 'aftercreditsstinger']"
8373,Transformers: Revenge of the Fallen,6,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Bay,"JoshDuhamel,MeganFox,RainnWilson,ShiaLaBeouf","['egypt', 'sun', 'chaos', 'symbol', 'artifact', 'transformers', 'tank', 'robot', 'imax', 'duringcreditsstinger']"
91314,Transformers: Age of Extinction,6,5.8,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michael Bay,"KelseyGrammer,MarkWahlberg,NicolaPeltz,StanleyTucci","['sequel', 'alien', 'transformers', 'giant robot', 'robot', 'imax', 'transforming robot']"
68728,Oz: The Great and Powerful,6,5.7,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Sam Raimi,"JamesFranco,MichelleWilliams,MilaKunis,RachelWeisz","['circus', 'witch', 'magic', 'hope', 'illusion', 'lost', 'magic trick', 'wizard', '3d']"
102382,The Amazing Spider-Man 2,7,6.5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marc Webb,"AndrewGarfield,DaneDeHaan,EmmaStone,JamieFoxx","['obsession', 'marvel comic', 'sequel', 'based on comic book', 'electrocution', 'medical experiment', 'electricity', 'super powers']"
20526,TRON: Legacy,6,6.3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joseph Kosinski,"BruceBoxleitner,GarrettHedlund,JeffBridges,OliviaWilde","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']"
49013,Cars 2,6,5.8,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,John Lasseter,"EmilyMortimer,LarrytheCableGuy,MichaelCaine,OwenWilson","['car race', 'sequel', 'comedy', 'anthropomorphism', 'best friend', 'duringcreditsstinger']"
44912,Green Lantern,5,5.1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Martin Campbell,"BlakeLively,PeterSarsgaard,RyanReynolds,TimRobbins","['dc comics', 'transformation', 'superhero', 'alien', 'alien infection', 'magical object', 'protector', 'super powers', 'origin', '3d']"
10193,Toy Story 3,8,7.6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,Lee Unkrich,"JoanCusack,NedBeatty,TimAllen,TomHanks","['hostage', 'college', 'toy', 'barbie', 'animation', 'escape', 'day care', 'teddy bear', 'duringcreditsstinger', 'toy comes to life', 'personification', 'inanimate objects coming to life', 'toy story']"
